title,company,location,category,salary_min,salary_max,contract_type,description,created,redirect_url,full_text,skills_found,skill_count
Field Services Engineer,Bradford Jacobs,"Chennai, Tamil Nadu",Engineering Jobs,,,,"Bradford Jacobs is supporting a global technology company with operations across North America, Europe, and Asia providing advanced high-speed data acquisition, control, and validation testing solutions to leading OEMs in the automotive, heavy equipment, mining, construction, agricultural, and industrial sectors. With nearly 30 years of industry experience, the company specialises in vehicle and equipment testing, automation, Vision AI, transmission and engine testing, geo-fencing, and electron…",2026-08-26T23:56:54Z,https://www.adzuna.in/land/ad/5857212835?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=1796F3BCD90BE95B213E55B60265828FC2266001,"field services engineer bradford jacobs is supporting a global technology company with operations across north america, europe, and asia providing advanced high-speed data acquisition, control, and validation testing solutions to leading oems in the automotive, heavy equipment, mining, construction, agricultural, and industrial sectors. with nearly 30 years of industry experience, the company specialises in vehicle and equipment testing, automation, vision ai, transmission and engine testing, geo-fencing, and electron…",[],0
General Affairs apprentice,Mizuho,"Chennai, Tamil Nadu",Admin Jobs,,,,"Mizuho Global Services Pvt Ltd (MGS) is a subsidiary company of Mizuho Bank, Ltd, which is one of the largest banks or so called Mega Banks of Japan. MGS was established in the year 2020 as part of Mizuho's long-term strategy of creating a captive global processing center for remotely handling banking and IT related operations of Mizuho Banks domestic and overseas offices and Mizuho's group companies across the globe. At Mizuho we are committed to a culture that is driven by ethical values and …",2026-08-21T17:26:35Z,https://www.adzuna.in/land/ad/5850983326?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=74FB01E53F2FFFB1524DA4AA80CCDCECCD6CECCC,"general affairs apprentice mizuho global services pvt ltd (mgs) is a subsidiary company of mizuho bank, ltd, which is one of the largest banks or so called mega banks of japan. mgs was established in the year 2020 as part of mizuho's long-term strategy of creating a captive global processing center for remotely handling banking and it related operations of mizuho banks domestic and overseas offices and mizuho's group companies across the globe. at mizuho we are committed to a culture that is driven by ethical values and …",[],0
Shift Executive,Riverpoint Foods Private Limited,"Krishnagiri, Tamil Nadu",Manufacturing Jobs,,,,"JD - Shift Executive Location Krishnagiri Experience 2-5 Years (Bakery and Confectionery Experience will be added advantage) Vacancy 2 Qualification B.E / B.Tech - Food Technology, Mechanical, Electrical JD Responsible for Handling Shift Manpower and to improve Productivity Responsible for Completing the Days production Schedule Process Monitoring and In-Process Checks Co-Ordination with the other department to get the desired output Maintaining day Production Records Obtaining the Desired Yiel…",2026-09-01T16:22:05Z,https://www.adzuna.in/land/ad/5864433684?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=4C5237D97283780F745CD0C7E94521F17C2E9E38,"shift executive jd - shift executive location krishnagiri experience 2-5 years (bakery and confectionery experience will be added advantage) vacancy 2 qualification b.e / b.tech - food technology, mechanical, electrical jd responsible for handling shift manpower and to improve productivity responsible for completing the days production schedule process monitoring and in-process checks co-ordination with the other department to get the desired output maintaining day production records obtaining the desired yiel…",[],0
Vice President of Financial Planning Analysis,Mizuho,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,,,"Mizuho Global Services Pvt Ltd (MGS) is a subsidiary company of Mizuho Bank, Ltd, which is one of the largest banks, also called a Mega Bank of Japan. MGS was established in the year 2020 as part of Mizuhos long-term strategy of creating a captive global processing center for remotely handling banking and IT-related operations of Mizuho Bank’s domestic and overseas offices and Mizuho’s group companies across the globe. At Mizuho, we are committed to a culture driven by ethical values and suppor…",2026-08-20T17:58:25Z,https://www.adzuna.in/land/ad/5849578988?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7E46D9F657366ADA777F07572386708740565538,"vice president of financial planning analysis mizuho global services pvt ltd (mgs) is a subsidiary company of mizuho bank, ltd, which is one of the largest banks, also called a mega bank of japan. mgs was established in the year 2020 as part of mizuhos long-term strategy of creating a captive global processing center for remotely handling banking and it-related operations of mizuho bank’s domestic and overseas offices and mizuho’s group companies across the globe. at mizuho, we are committed to a culture driven by ethical values and suppor…",[],0
"Area Sales Manager, Chennai",Danaher,"Chennai, Tamil Nadu",Sales Jobs,,,,"This job is with Danaher, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Bring more to life. Are you ready to accelerate your potential and make a real difference within life sciences, diagnostics, and biotechnology? At SCIEX, one of Danaher’s 15 operating companies, our work saves lives—and we’re all united by a shared commitment to innovate for tangible impact. You’ll thrive in a cultu…",2026-08-18T18:03:40Z,https://www.adzuna.in/land/ad/5846723515?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=72E30FA40496F1BBAD684ED550585F41C8218396,"area sales manager, chennai this job is with danaher, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. bring more to life. are you ready to accelerate your potential and make a real difference within life sciences, diagnostics, and biotechnology? at sciex, one of danaher’s 15 operating companies, our work saves lives—and we’re all united by a shared commitment to innovate for tangible impact. you’ll thrive in a cultu…",['Sales'],1
SAP Plant Maintenance Consultant,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,,,"Walk-In Drive  12 Sep 2026  TCS Chennai Job Role: SAP Plant Maintenance Consultant Exp: 7 Years Location: Chennai Job Type: Full Time Job Description: Configure and support SAP Plant Maintenance processes. Manage preventive, corrective, and breakdown maintenance activities. Work with Maintenance Orders, Notifications, Equipment, and Functional Locations. Gather business requirements and provide SAP PM solutions. Support testing, user training, and issue resolution. SAP PM experience. Strong kno…",2026-09-08T00:50:39Z,https://www.adzuna.in/land/ad/5874384275?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=273A40BD0FB2E260A6802FA8034B46AEA7947B94,"sap plant maintenance consultant walk-in drive  12 sep 2026  tcs chennai job role: sap plant maintenance consultant exp: 7 years location: chennai job type: full time job description: configure and support sap plant maintenance processes. manage preventive, corrective, and breakdown maintenance activities. work with maintenance orders, notifications, equipment, and functional locations. gather business requirements and provide sap pm solutions. support testing, user training, and issue resolution. sap pm experience. strong kno…",['SAP'],1
Student Counsellor - SPM Study Abroad Consultancy (Madurai Branch) Executive,SPM Consultancy Services Ltd,"Madurai, Tamil Nadu",Teaching Jobs,,,," WE’RE HIRING – STUDENT COUNSELLOR SPM Study Abroad is looking for energetic and career-focused candidates to join our Madurai team as a Student Counsellor – Study Abroad .  Location: Madurai  Employment Type: Full-Time  Experience: 1 Year Preferred ✨ Freshers with Good English Communication Skills Can Also Apply Key Responsibilities: • Counsel students interested in studying abroad • Understand students’ academic background and career goals • Guide students on suitable countries, courses and u…",2026-09-06T18:35:03Z,https://www.adzuna.in/land/ad/5873074220?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=B25A59319882C4CEC8B8C11371D5B03FDEBA7B52,"student counsellor - spm study abroad consultancy (madurai branch) executive  we’re hiring – student counsellor spm study abroad is looking for energetic and career-focused candidates to join our madurai team as a student counsellor – study abroad .  location: madurai  employment type: full-time  experience: 1 year preferred ✨ freshers with good english communication skills can also apply key responsibilities: • counsel students interested in studying abroad • understand students’ academic background and career goals • guide students on suitable countries, courses and u…",['Communication Skills'],1
Lead Technical Support Engineer,Amura Health,"Chennai, Tamil Nadu",IT Jobs,,,,"Role Overview We are looking for a Support Lead Engineer who can lead technical support operations, handle L3 escalations, and bridge the gap between customers and engineering. This role is perfect for someone with strong backend debugging skills (preferably Node.js exposure) and a problem-solving mindset. Key Responsibilities ● Lead and manage escalated technical issues (L3 support). ● Debug backend services, APIs, and integrations built in Node.js. ● Analyze logs, traces, and metrics to diagn…",2026-09-01T16:20:19Z,https://www.adzuna.in/land/ad/5864424222?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=3F7503AC1C2600CF1698E55F6254429873AADF00,"lead technical support engineer role overview we are looking for a support lead engineer who can lead technical support operations, handle l3 escalations, and bridge the gap between customers and engineering. this role is perfect for someone with strong backend debugging skills (preferably node.js exposure) and a problem-solving mindset. key responsibilities ● lead and manage escalated technical issues (l3 support). ● debug backend services, apis, and integrations built in node.js. ● analyze logs, traces, and metrics to diagn…",['Problem Solving'],1
Sales Manager – Mortgage,Deutsche Bank,"Chennai, Tamil Nadu",HR & Recruitment Jobs,,,,"This job is with Deutsche Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Position Overview Role Description Increase acquisition of target clientele across mortgage and loan against property segments. Responsible for new business acquisition through open market. Build and strengthen strong network of direct sales agencies in the market. What we’ll offer you As part of our flexible …",2026-08-18T18:03:33Z,https://www.adzuna.in/land/ad/5846723074?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=6E6FBFC527813A2F2D94FE19CFA896D4036F1DA6,"sales manager – mortgage this job is with deutsche bank, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. position overview role description increase acquisition of target clientele across mortgage and loan against property segments. responsible for new business acquisition through open market. build and strengthen strong network of direct sales agencies in the market. what we’ll offer you as part of our flexible …",['Sales'],1
Ab Initio Admin,Virtusa,"Chennai, Tamil Nadu",IT Jobs,,,,"Experience: 6 years of Ab Initio and Spark Infrastructure admin Capacity planning, server maintenance, advance administrative support Knowledge on various tools related to infrastructure monitoring Knowledge on CI/CD, OpenShift, Cloud would be an advantage Capacity planning, server maintenance, advance administrative support Knowledge on various tools related to infrastructure monitoring Knowledge on CI/CD, OpenShift, Cloud would be an advantage Providing solution to application team",2026-09-06T18:34:27Z,https://www.adzuna.in/land/ad/5873074047?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=2E218170C5CE1A77C88EF64CFA23ABACD16E6773,"ab initio admin experience: 6 years of ab initio and spark infrastructure admin capacity planning, server maintenance, advance administrative support knowledge on various tools related to infrastructure monitoring knowledge on ci/cd, openshift, cloud would be an advantage capacity planning, server maintenance, advance administrative support knowledge on various tools related to infrastructure monitoring knowledge on ci/cd, openshift, cloud would be an advantage providing solution to application team",['Administrative Support'],1
