category,skill,posting_count
Engineering Jobs,Recruiting,8
Engineering Jobs,Sales,7
Engineering Jobs,Leadership,3
Engineering Jobs,Computer Science Fundamentals,2
Engineering Jobs,Auditing,2
Admin Jobs,Onboarding,3
Admin Jobs,Excel,3
Admin Jobs,MS Office,3
Admin Jobs,Administrative Support,2
Admin Jobs,SAP,2
Manufacturing Jobs,ERP Software,1
Manufacturing Jobs,Sales,1
Manufacturing Jobs,Communication Skills,1
Accounting & Finance Jobs,Accounting,28
Accounting & Finance Jobs,Taxation,19
Accounting & Finance Jobs,Auditing,19
Accounting & Finance Jobs,Sales,15
Accounting & Finance Jobs,Leadership,8
Sales Jobs,Sales,176
Sales Jobs,Business Development,55
Sales Jobs,Lead Generation,16
Sales Jobs,Cold Calling,14
Sales Jobs,B2B Marketing,12
IT Jobs,SQL,75
IT Jobs,Java,71
IT Jobs,Python,47
IT Jobs,JavaScript,38
IT Jobs,Machine Learning,36
Teaching Jobs,Leadership,6
Teaching Jobs,Sales,6
Teaching Jobs,Communication Skills,2
Teaching Jobs,Data Analysis,1
Teaching Jobs,Recruiting,1
HR & Recruitment Jobs,Human Resources,17
HR & Recruitment Jobs,Recruiting,10
HR & Recruitment Jobs,Talent Acquisition,6
HR & Recruitment Jobs,Sales,4
HR & Recruitment Jobs,Communication Skills,3
Creative & Design Jobs,Sales,4
Creative & Design Jobs,Business Development,2
Creative & Design Jobs,Excel,2
Creative & Design Jobs,Onboarding,1
Creative & Design Jobs,Leadership,1
Healthcare & Nursing Jobs,Communication Skills,4
Healthcare & Nursing Jobs,Human Resources,2
Healthcare & Nursing Jobs,Voice Process,2
Healthcare & Nursing Jobs,Leadership,1
Healthcare & Nursing Jobs,Interpersonal Skills,1
"PR, Advertising & Marketing Jobs",Digital Marketing,9
"PR, Advertising & Marketing Jobs",Sales,9
"PR, Advertising & Marketing Jobs",SEO,6
"PR, Advertising & Marketing Jobs",Communication Skills,4
"PR, Advertising & Marketing Jobs",Google Ads,3
Logistics & Warehouse Jobs,Sales,2
Logistics & Warehouse Jobs,Negotiation,1
Logistics & Warehouse Jobs,ERP Software,1
Logistics & Warehouse Jobs,SAP,1
Logistics & Warehouse Jobs,Accounts Payable,1
Scientific & QA Jobs,Human Resources,2
Scientific & QA Jobs,Interpersonal Skills,2
Hospitality & Catering Jobs,Sales,1
Hospitality & Catering Jobs,Teamwork,1
Hospitality & Catering Jobs,Customer Service,1
Hospitality & Catering Jobs,Interpersonal Skills,1
Customer Services Jobs,Customer Service,19
Customer Services Jobs,Voice Process,11
Customer Services Jobs,Communication Skills,4
Customer Services Jobs,Call Centre,3
Customer Services Jobs,CRM Software,3
Consultancy Jobs,Project Management,2
Consultancy Jobs,Business Development,1
Consultancy Jobs,Leadership,1
Consultancy Jobs,Communication Skills,1
Consultancy Jobs,Analytical Skills,1
Retail Jobs,Sales,4
Retail Jobs,Human Resources,1
Retail Jobs,Recruiting,1
Retail Jobs,Negotiation,1
"Energy, Oil & Gas Jobs",Sales,5
Legal Jobs,Sales,1
Legal Jobs,MS Office,1
Property Jobs,Leadership,1
Property Jobs,Sales,1
Domestic help & Cleaning Jobs,Customer Service,1
Domestic help & Cleaning Jobs,Voice Process,1
Graduate Jobs,Sales,1
