skill,posting_count,percent_of_postings
Sales,261,13.4
SQL,76,3.9
Java,71,3.7
Business Development,64,3.3
Leadership,62,3.2
Customer Service,61,3.1
Communication Skills,49,2.5
Python,47,2.4
Human Resources,43,2.2
Voice Process,40,2.1
SAP,39,2.0
JavaScript,38,2.0
Machine Learning,37,1.9
Recruiting,36,1.9
Accounting,36,1.9
Auditing,32,1.6
Taxation,24,1.2
Problem Solving,21,1.1
B2B Marketing,20,1.0
Onboarding,20,1.0
Lead Generation,19,1.0
ERP Software,18,0.9
CRM Software,18,0.9
Digital Marketing,16,0.8
Teamwork,16,0.8
Excel,16,0.8
Cold Calling,14,0.7
Salesforce,13,0.7
Payroll,12,0.6
Market Research,12,0.6
SEO,12,0.6
Project Management,12,0.6
Interpersonal Skills,11,0.6
Data Analysis,10,0.5
Accounts Receivable,8,0.4
Power BI,8,0.4
Talent Acquisition,8,0.4
Negotiation,8,0.4
Scheduling,8,0.4
Computer Science Fundamentals,8,0.4
Web Development,7,0.4
Analytical Skills,7,0.4
MS Office,7,0.4
Business Intelligence,7,0.4
Accounts Payable,6,0.3
Data Modeling,6,0.3
Tableau,5,0.3
Bookkeeping,5,0.3
Statistics,5,0.3
Tally,5,0.3
Administrative Support,4,0.2
Financial Reporting,4,0.2
Google Ads,4,0.2
Financial Analysis,4,0.2
General Ledger,4,0.2
Content Creation,4,0.2
Call Centre,3,0.2
GST,3,0.2
Email Marketing,3,0.2
Ticketing System,3,0.2
Organizational Skills,3,0.2
Social Media Marketing,2,0.1
Data Visualization,2,0.1
GAAP,2,0.1
SAS,2,0.1
HRIS,2,0.1
Google Analytics,1,0.1
R Programming,1,0.1
Time Management,1,0.1
Multitasking,1,0.1
Employee Relations,1,0.1
Microsoft Access,1,0.1
