degree,primary_job_sector,skill,skill_category,market_posting_count,degree_coverage_level,gap_score
B.Tech/B.E (CS/IT/AI/Software Engg),IT Jobs,SQL,IT & Data,75,Core,0.0
B.Tech/B.E (CS/IT/AI/Software Engg),IT Jobs,Java,IT & Data,71,Core,0.0
B.Tech/B.E (CS/IT/AI/Software Engg),IT Jobs,Python,IT & Data,47,Core,0.0
B.Tech/B.E (CS/IT/AI/Software Engg),IT Jobs,JavaScript,IT & Data,38,Core,0.0
B.Tech/B.E (CS/IT/AI/Software Engg),IT Jobs,Machine Learning,IT & Data,36,Core,0.0
BCA,IT Jobs,SQL,IT & Data,75,Core,0.0
BCA,IT Jobs,Java,IT & Data,71,Core,0.0
BCA,IT Jobs,Python,IT & Data,47,Core,0.0
BCA,IT Jobs,JavaScript,IT & Data,38,Core,0.0
BCA,IT Jobs,Machine Learning,IT & Data,36,Core,0.0
B.Sc (Computer Science/Data Science/IT),IT Jobs,SQL,IT & Data,75,Core,0.0
B.Sc (Computer Science/Data Science/IT),IT Jobs,Java,IT & Data,71,Core,0.0
B.Sc (Computer Science/Data Science/IT),IT Jobs,Python,IT & Data,47,Core,0.0
B.Sc (Computer Science/Data Science/IT),IT Jobs,JavaScript,IT & Data,38,Core,0.0
B.Sc (Computer Science/Data Science/IT),IT Jobs,Machine Learning,IT & Data,36,Core,0.0
M.Tech/M.E (CS/AI/Data Science),IT Jobs,SQL,IT & Data,75,Core,0.0
M.Tech/M.E (CS/AI/Data Science),IT Jobs,Java,IT & Data,71,Core,0.0
M.Tech/M.E (CS/AI/Data Science),IT Jobs,Python,IT & Data,47,Core,0.0
M.Tech/M.E (CS/AI/Data Science),IT Jobs,JavaScript,IT & Data,38,Core,0.0
M.Tech/M.E (CS/AI/Data Science),IT Jobs,Machine Learning,IT & Data,36,Core,0.0
MCA,IT Jobs,SQL,IT & Data,75,Core,0.0
MCA,IT Jobs,Java,IT & Data,71,Core,0.0
MCA,IT Jobs,Python,IT & Data,47,Core,0.0
MCA,IT Jobs,JavaScript,IT & Data,38,Core,0.0
MCA,IT Jobs,Machine Learning,IT & Data,36,Core,0.0
M.Sc (CS/IT/Data Science),IT Jobs,SQL,IT & Data,75,Core,0.0
M.Sc (CS/IT/Data Science),IT Jobs,Java,IT & Data,71,Core,0.0
M.Sc (CS/IT/Data Science),IT Jobs,Python,IT & Data,47,Core,0.0
M.Sc (CS/IT/Data Science),IT Jobs,JavaScript,IT & Data,38,Core,0.0
M.Sc (CS/IT/Data Science),IT Jobs,Machine Learning,IT & Data,36,Core,0.0
PGP in Business Analytics,IT Jobs,SQL,IT & Data,75,Core,0.0
PGP in Business Analytics,IT Jobs,Java,IT & Data,71,Core,0.0
PGP in Business Analytics,IT Jobs,Python,IT & Data,47,Core,0.0
PGP in Business Analytics,IT Jobs,JavaScript,IT & Data,38,Core,0.0
PGP in Business Analytics,IT Jobs,Machine Learning,IT & Data,36,Core,0.0
BBA,Sales Jobs,Sales,Sales & Marketing,176,Partial,88.0
BBA,Sales Jobs,Business Development,Sales & Marketing,55,Partial,27.5
BBA,Sales Jobs,Lead Generation,Sales & Marketing,16,Partial,8.0
BBA,Sales Jobs,Cold Calling,Sales & Marketing,14,Partial,7.0
