title,company,location,category,contract_type,created,skills_found_clean,skill_count,description_short,redirect_url
Field Services Engineer,Bradford Jacobs,"Chennai, Tamil Nadu",Engineering Jobs,,2026-08-26T23:56:54Z,None Matched,0,"Bradford Jacobs is supporting a global technology company with operations across North America, Europe, and Asia providing advanced high-speed data acquisition, control, and validation testing solutions to leading OEMs in the automotive, heavy equipment, mining, construction, agricultural, and indus...",https://www.adzuna.in/land/ad/5857212835?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=1796F3BCD90BE95B213E55B60265828FC2266001
General Affairs apprentice,Mizuho,"Chennai, Tamil Nadu",Admin Jobs,,2026-08-21T17:26:35Z,None Matched,0,"Mizuho Global Services Pvt Ltd (MGS) is a subsidiary company of Mizuho Bank, Ltd, which is one of the largest banks or so called Mega Banks of Japan. MGS was established in the year 2020 as part of Mizuho's long-term strategy of creating a captive global processing center for remotely handling banki...",https://www.adzuna.in/land/ad/5850983326?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=74FB01E53F2FFFB1524DA4AA80CCDCECCD6CECCC
Shift Executive,Riverpoint Foods Private Limited,"Krishnagiri, Tamil Nadu",Manufacturing Jobs,,2026-09-01T16:22:05Z,None Matched,0,"JD - Shift Executive Location Krishnagiri Experience 2-5 Years (Bakery and Confectionery Experience will be added advantage) Vacancy 2 Qualification B.E / B.Tech - Food Technology, Mechanical, Electrical JD Responsible for Handling Shift Manpower and to improve Productivity Responsible for Completin...",https://www.adzuna.in/land/ad/5864433684?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=4C5237D97283780F745CD0C7E94521F17C2E9E38
Vice President of Financial Planning Analysis,Mizuho,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,2026-08-20T17:58:25Z,None Matched,0,"Mizuho Global Services Pvt Ltd (MGS) is a subsidiary company of Mizuho Bank, Ltd, which is one of the largest banks, also called a Mega Bank of Japan. MGS was established in the year 2020 as part of Mizuhos long-term strategy of creating a captive global processing center for remotely handling banki...",https://www.adzuna.in/land/ad/5849578988?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7E46D9F657366ADA777F07572386708740565538
"Area Sales Manager, Chennai",Danaher,"Chennai, Tamil Nadu",Sales Jobs,,2026-08-18T18:03:40Z,Sales,1,"This job is with Danaher, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Bring more to life. Are you ready to accelerate your potential and make a real difference within life sciences, diagno...",https://www.adzuna.in/land/ad/5846723515?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=72E30FA40496F1BBAD684ED550585F41C8218396
SAP Plant Maintenance Consultant,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-08T00:50:39Z,SAP,1,"Walk-In Drive  12 Sep 2026  TCS Chennai Job Role: SAP Plant Maintenance Consultant Exp: 7 Years Location: Chennai Job Type: Full Time Job Description: Configure and support SAP Plant Maintenance processes. Manage preventive, corrective, and breakdown maintenance activities. Work with Maintenance Ord...",https://www.adzuna.in/land/ad/5874384275?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=273A40BD0FB2E260A6802FA8034B46AEA7947B94
Student Counsellor - SPM Study Abroad Consultancy (Madurai Branch) Executive,SPM Consultancy Services Ltd,"Madurai, Tamil Nadu",Teaching Jobs,,2026-09-06T18:35:03Z,Communication Skills,1, WE’RE HIRING – STUDENT COUNSELLOR SPM Study Abroad is looking for energetic and career-focused candidates to join our Madurai team as a Student Counsellor – Study Abroad .  Location: Madurai  Employment Type: Full-Time  Experience: 1 Year Preferred ✨ Freshers with Good English Communication Skills ...,https://www.adzuna.in/land/ad/5873074220?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=B25A59319882C4CEC8B8C11371D5B03FDEBA7B52
Lead Technical Support Engineer,Amura Health,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:20:19Z,Problem Solving,1,"Role Overview We are looking for a Support Lead Engineer who can lead technical support operations, handle L3 escalations, and bridge the gap between customers and engineering. This role is perfect for someone with strong backend debugging skills (preferably Node.js exposure) and a problem-solving m...",https://www.adzuna.in/land/ad/5864424222?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=3F7503AC1C2600CF1698E55F6254429873AADF00
Sales Manager – Mortgage,Deutsche Bank,"Chennai, Tamil Nadu",HR & Recruitment Jobs,,2026-08-18T18:03:33Z,Sales,1,"This job is with Deutsche Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Position Overview Role Description Increase acquisition of target clientele across mortgage and loan against pro...",https://www.adzuna.in/land/ad/5846723074?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=6E6FBFC527813A2F2D94FE19CFA896D4036F1DA6
Ab Initio Admin,Virtusa,"Chennai, Tamil Nadu",IT Jobs,,2026-09-06T18:34:27Z,Administrative Support,1,"Experience: 6 years of Ab Initio and Spark Infrastructure admin Capacity planning, server maintenance, advance administrative support Knowledge on various tools related to infrastructure monitoring Knowledge on CI/CD, OpenShift, Cloud would be an advantage Capacity planning, server maintenance, adva...",https://www.adzuna.in/land/ad/5873074047?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=2E218170C5CE1A77C88EF64CFA23ABACD16E6773
Service Desk Agent,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-02T16:42:44Z,None Matched,0,Role: Service desk keywords: Service desk Desired Experience Range 3 - 6 years Location of Requirement Chennai Responsibility Expectations from the role  Answers and responds to inbound calls or electronic requests from end-users regarding products  Creates and documents all support calls from the...,https://www.adzuna.in/land/ad/5867036123?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=0F849AFB59F6BE9EA361B9D9CE14524E1BB5570A
Interior Designer,DSPACE INTERIORS,"Coimbatore, Tamil Nadu",Creative & Design Jobs,,2026-08-27T15:59:21Z,None Matched,0,"Company Description Interior Design Associates, Inc. in Nashville, TN, brings visions of beautiful, functional design to life. With an award-winning team, we provide a comprehensive and thoughtful process to deliver exceptional interior design. Our collaborative approach transforms conceptual design...",https://www.adzuna.in/land/ad/5858113382?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7A7A80E4E503F9BDE54E1C97A7B7583B894C366F
Azure Databricks,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-03T22:25:52Z,None Matched,0,"Greetings from Tata Consultancy Services TCS is Hiring for the role of Azure Databricks Years of experience : 6 to 10 yrs Location : Chennai Required Skill Set: Azure Data Factory, Azure Databricks, Pyspark, Interview Date : 3rd Sep 2026 Interview Mode : Online...",https://www.adzuna.in/land/ad/5869425809?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7C61682E3424FFB757FDB74F2096E8FB0F4B496D
Technical Support Engineer,Movate,"Chennai, Tamil Nadu",IT Jobs,,2026-09-11T17:16:50Z,"Customer Service, Voice Process",2," Immediate Hiring | Technical Support Engineer | International Voice Process | Chennai | Up to ₹5.5 LPA Movate Technologies (Formerly CSS Corp) is hiring Technical Support Engineers for our International Voice Process. If you're passionate about troubleshooting, customer service, and technical suppo...",https://www.adzuna.in/land/ad/5879669795?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=AC525D807ACF91098787D90382BDD4BD4135441B
IT Solutions Sales Executive,LOGZ,"Chennai, Tamil Nadu",Sales Jobs,,2026-09-11T17:15:39Z,"Sales, Communication Skills",2," We’re Hiring: IT Solutions Sales Executive – Chennai, India  Location: Chennai, India – On-site  Experience: Minimum 3 years We are looking for a confident and dynamic IT Solutions Sales Executive with proven experience in selling technology products and IT solutions. The ideal candidate should hav...",https://www.adzuna.in/land/ad/5879667223?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=AF3BC57EB4A9FCD5F3B9AA4D5C4C7995712D409B
Oracle Database Administration,Tata Consultancy Services,"Chennai, Tamil Nadu",Admin Jobs,,2026-09-01T16:20:15Z,None Matched,0,TCS has been a great pioneer in feeding the fire of Young Techies like you. We are a global leader in the technology arena and there's nothing that can stop us from growing together. TCS is Hiring for Oracle Database Administration Experience Range : 7 Yrs Job Location : Chennai / Kochi Interview Mo...,https://www.adzuna.in/land/ad/5864423865?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7F38179352BF06C285FFD3421C8C1CC9362D746C
